date,headline,source,section,medium,document_type,subject,words,url
2022-12-20,Chelsea Handler Needs More Jennifer Coolidge in Her Life,The New York Times,Arts,News,article,"Handler, Chelsea",926,https://www.nytimes.com/2022/12/20/arts/television/chelsea-handler-revolution.html
2022-12-20,Release of Trump Tax Returns Could Herald New Era for Taxpayer Privacy,The New York Times,U.S.,News,article,Trump Tax Returns,1229,https://www.nytimes.com/2022/12/20/us/politics/trump-tax-returns-house.html
2022-12-21,Sam Bankman-Fried Is Set for Extradition to U.S.,The New York Times,Technology,News,article,Extradition,582,https://www.nytimes.com/2022/12/21/technology/sbf-ftx-extradition.html
2022-12-21,These Activists Target Drivers Who Tamper With License Plates,The New York Times,New York,briefing,article,New York City,1502,https://www.nytimes.com/2022/12/21/nyregion/these-activists-target-drivers-who-tamper-with-license-plates.html
2022-12-21,Day 21: In Praise of Pomegranates,The New York Times,Style,News,article,Pomegranates,263,https://www.nytimes.com/2022/12/21/style/pomegranate-winter-solstice-yalda.html
2022-12-21,An Artist Who Encourages Visitors to Walk Over His Work,The New York Times,T Magazine,News,article,"Kiss, Mathias",1177,https://www.nytimes.com/2022/12/21/t-magazine/mathias-kiss-home-studio.html
2022-12-20,"In Virginia, Democrats Sprint to Select Nominee for Special House Election",The New York Times,U.S.,News,article,Democratic Party,813,https://www.nytimes.com/2022/12/20/us/politics/virginia-special-election-house-democrats.html
2022-12-20,A 200-Year-Old Argument on Behalf of the Many Against the Few,The New York Times,Opinion,Op-Ed,article,Democracy (Theory and Philosophy),1192,https://www.nytimes.com/2022/12/20/opinion/democracy-freedom-liberty-skidmore.html
2022-12-20,"Kim Simmonds, a Key Figure in the British Blues Movement, Dies at 75",The New York Times,Arts,Obituary (Obit),article,"Simmonds, Kim",941,https://www.nytimes.com/2022/12/20/arts/music/kim-simmonds-dead.html
2022-12-21,Spelling Bee Forum,The New York Times,Crosswords & Games,News,article,Spelling Bee (Game),165,https://www.nytimes.com/2022/12/21/crosswords/spelling-bee-forum.html
